	z_coordinate_0	z_coordinate_1
304	-3.2141905	-2.4377697
305	-3.1767101	-5.3548675
306	-4.3273706	-3.9306877
307	-3.2922063	-5.937231
308	-3.4103727	-3.5692544
309	-0.9675649	-2.6869326
310	-2.0203795	-4.2421727
311	-3.403986	-7.140495
312	-3.1944914	-2.3435805
313	-3.535668	-6.925331
314	-3.495596	-2.550047
315	-0.06461142	-3.32923
316	-1.7176489	-4.674914
317	-6.915602	-6.836147
318	11.30763	-9.542028
319	-0.73647654	-3.7475517
320	-1.6915903	-4.8058467
321	-1.3101654	-3.5174632
322	-3.6144853	-5.820686
323	-2.9416099	-6.2425613
324	-3.0127673	-6.702619
325	-4.2906394	-6.6054797
326	-2.9771872	-2.4293704
327	-4.2734537	-5.0421224
328	-2.1053383	-4.726519
329	-3.675501	-4.2655454
330	-0.8215182	-3.4174645
331	-1.9634932	-3.9799402
332	-1.0454075	-3.4704256
333	-0.6075652	-2.5912833
334	-2.2381227	-4.614344
335	-3.4174967	-5.5270314
336	-3.2975018	-2.5720148
337	-1.1133194	-3.6411114
338	-4.2329946	-6.2564607
339	-1.758882	-5.0383515
340	-0.7036652	2.9452074
341	-3.0815372	-6.531357
342	-3.1539998	-6.6286225
343	-2.3358274	-4.5650525
344	-5.7344184	-5.875113
345	-0.98556703	-3.4149258
346	-2.2724142	-6.06595
347	-7.4821196	-5.7783966
348	-2.414043	-5.8394046
349	-0.84328717	-3.2444384
350	-3.8893743	-6.0098796
351	-1.1051184	-4.4381733
352	-0.54914343	-2.743034
353	-4.4887004	-3.5033753
354	-0.86297995	-3.7432544
355	-1.9293094	-4.4004602
356	-0.44710624	-3.593106
357	-3.1053016	-5.429564
358	-3.166556	-6.252423
359	-2.7290537	-6.2403073
360	-0.58500105	-3.657054
361	-0.9502645	-3.3640697
362	-6.5534368	-5.661303
363	-3.3447728	-4.565168
364	-3.2658808	-4.689609
365	-0.63189477	-3.656038
366	-3.1013467	-6.370938
367	-3.8511865	-5.737267
368	-5.882726	-4.75873
369	-4.1470466	-3.604286
370	-3.7944825	-3.9387395
371	-4.3628864	-6.193154
372	-3.6692948	-6.704612
373	-0.046535984	-3.377547
374	-2.4325535	-5.9697137
375	-0.4829089	-3.4749112
376	-4.175059	-3.8490098
377	-3.9818902	-3.8111765
378	-0.40797827	-3.601186
379	-0.929431	-4.477798
380	-1.5565228	-3.3850029
381	-0.44876048	-7.1383243
382	-4.358742	-3.8127954
383	-4.37365	-3.5634763
384	-0.69041526	-2.56576
385	-1.112213	-3.436165
386	-0.9712553	-2.649969
387	-1.4303838	-3.8054464
388	-1.361288	-5.3811345
389	-0.29299077	-3.4642813
390	-1.1775284	-4.685065
391	-4.7387347	-4.2100596
392	-3.7315137	-3.8252742
393	-13.230172	-2.368631
394	-3.1127915	-3.808253
395	-3.87182	-3.7846296
396	-0.98042804	-3.1145022
397	-2.063573	-5.3654795
398	-0.9130281	-3.4288762
399	-4.450499	-4.4401226
400	-1.2631397	-4.304936
401	-2.6013324	-4.2178946
402	-1.6338855	-4.2497582
403	-3.3538575	-5.755141
404	-0.11928019	-2.237783
405	-1.089838	-2.5368211
406	-2.3669426	-4.3562665
407	-4.9003234	-3.6758912
408	-1.6144747	-3.5333545
409	-0.9993512	-3.3785076
410	-3.5125997	-5.727086
411	-1.3092064	-5.5463758
412	-3.6061351	-6.798186
413	-6.394202	-6.2993245
414	-0.67071944	-2.6480887
415	-1.0841717	-3.4745228
416	-3.9420016	-7.3507857
417	-2.993031	-3.0081806
418	-0.38403457	-10.420834
419	-3.549388	-6.2378654
420	-1.0904876	-2.9333627
421	-1.780858	-3.3006828
422	-4.066182	-3.7957203
423	-0.98415476	-2.6268785
424	-3.8685632	-6.7345443
425	-3.2736013	-2.4765985
426	-4.6761746	-5.9586782
427	-1.6491158	-4.802525
428	-3.9369433	-5.731753
429	-2.0439186	-5.0691276
430	-4.5725474	-5.5521483
431	-4.0012507	-4.0196595
432	-1.6228733	-3.5484564
433	-2.230957	-6.166446
434	-1.1390498	-3.107329
435	-3.956779	-7.8358426
436	-1.0142308	-3.3836787
437	-3.9566753	-3.7400992
438	-3.5631359	-1.9462593
439	-4.438456	-3.8589923
440	-3.4406543	-4.931349
441	-2.770026	-6.075425
442	-1.4436855	-2.664932
443	-4.5269337	-3.3648753
444	-2.9367938	-2.2480867
445	-3.9938912	-2.8877814
446	-4.1288724	-3.305434
447	-0.7826252	-4.6269317
448	-3.2910066	-2.2640197
449	-4.6729646	-6.0315413
450	-1.867248	-4.994339
451	-10.833571	-4.8141418
452	-0.17533877	-3.3029234
453	-4.4696465	-6.2776046
454	-3.4682055	-6.2190433
455	-1.800397	-4.5189967
456	-4.2229	-4.9723606
457	-2.0063286	-5.204383
458	-2.8643312	-2.8026414
459	-1.8532673	-4.8972116
460	1.9679403	5.3366675
461	-4.0918875	-5.6735616
462	-5.147392	-5.835386
463	-5.6968465	-3.971711
464	-3.4859378	-6.5438886
465	-1.9752622	-4.5647664
466	-3.2279968	-5.604997
467	-1.8778458	-3.4695928
468	-1.0200264	-3.486206
469	-3.9733891	-5.1886826
470	-5.50085	-6.173411
471	-2.6309023	-6.334972
472	-1.3033189	-6.3057456
473	-1.9312477	-2.5760791
474	-5.0634403	-6.1712546
475	-2.7722135	-4.4138055
476	-1.1446335	-3.6449516
477	-1.0800824	-3.626268
478	-3.5447674	-6.071488
479	-6.027254	-5.06496
480	-2.4628372	-3.2285054
481	5.123527	-8.666587
482	2.7117908	1.4840937
483	-2.444067	-4.406695
484	-0.4743988	-8.737521
485	-2.3057036	-5.651692
486	-2.544453	-5.761873
487	-4.1781497	-4.306677
488	-6.2578206	-4.963764
489	-9.936624	-0.98499423
490	-2.5015361	-5.47189
491	-2.4028895	-4.963226
492	-1.0121024	-3.3033028
493	-2.9628499	-5.513093
494	-1.034502	-4.29661
495	-2.5099518	-4.0641284
496	-3.6825728	-4.0577264
497	-0.616199	-3.591787
498	-2.0052128	-5.166905
499	-1.8626981	-4.954396
500	-0.40183467	-3.3207757
501	-0.646823	-3.6957252
502	-1.625445	-3.571755
503	-1.5033029	-3.50551
504	-2.8267765	-3.1210535
505	-1.3211117	-3.596141
506	-4.0776396	-5.4675
507	-4.134699	-6.6773524
508	-1.8676565	-3.0176013
509	-5.286844	-5.631637
510	-1.9378033	-3.6963491
511	-3.779756	-1.5715461
512	-2.8485136	-5.8859067
513	-2.113809	-4.7960877
514	-1.277962	-3.421282
515	-4.8337674	-4.4789605
516	-0.5486527	-3.1402059
517	-3.9996858	-6.422251
518	-1.188823	-3.1069474
519	-2.2778072	-5.9204545
520	-1.6044669	-4.044514
521	-13.702971	-1.1377976
522	-3.3643813	-2.5419786
523	-1.0002358	-3.286712
524	-2.6221294	-5.298321
525	-4.596184	-2.3431127
526	-0.53774214	-3.30218
527	-4.372551	-3.8018167
528	-2.6581109	-2.7930548
529	-1.1133947	-3.7328804
530	-2.4933627	-0.96700233
531	-4.2191687	-4.0199113
532	-5.605509	-4.942117
533	-1.5268089	-4.365048
534	-4.247244	-5.3994274
535	-1.4655552	-3.4955535
536	-1.124657	-3.3447926
537	-1.4301333	-2.5517263
538	-0.03261964	-3.204005
539	-0.99071485	-3.4236848
540	-3.2754676	-4.534184
541	-4.408134	-4.0628953
542	0.32292682	5.0766664
543	-2.9371948	-5.7963195
544	-4.424209	-3.6612103
545	-2.7083333	-2.6398616
546	-4.4369383	-3.5018766
547	-1.3131192	-5.3331046
548	-1.7561077	-3.5771055
549	-2.7304013	-3.1144323
550	-0.9091441	-3.4671104
551	-4.0035987	-6.5262213
552	-1.5469171	-5.442367
553	-1.7411544	-4.155995
554	-3.6154532	-3.892182
555	-4.654125	-6.414745
556	-3.6405463	-6.927074
557	-1.290408	-3.4673817
558	-1.1591849	-3.1638474
559	-1.8697608	-4.7335105
560	-2.4010496	-6.2104454
561	-1.0131414	-3.4216394
562	-1.6916475	-3.3182192
563	-3.7619507	-8.019459
564	-3.4166358	-5.9621377
565	-3.1602535	-2.59068
566	-1.2132797	-2.465039
567	-2.453653	-7.596251
568	-2.2125676	-4.7432075
569	-5.6672115	-4.6624846
570	-2.6961832	-2.971523
571	-1.5973101	-3.4172075
572	-2.8633351	-2.6919353
573	-6.274031	-2.705002
574	-0.15299386	-3.3943193
575	-3.9397929	-2.246041
576	-1.5537828	-5.6174707
577	-3.6439147	-4.2375245
578	-1.6929798	-4.6281714
579	-4.24672	-6.161844
580	-1.1493808	-5.3064494
581	-2.9700718	-4.1947875
582	-3.7747178	-4.110584
583	-0.890456	-4.4740677
584	-2.912723	-6.445496
585	-2.228052	-5.6077695
586	-0.8309484	-2.731661
587	-3.7634835	-5.475434
588	-1.0372198	-3.011113
589	-4.405962	-2.7557142
590	-2.4016523	-2.7423913
591	-3.9732423	-5.787494
592	-1.7887473	-3.6526678
593	-2.5666378	-6.336971
594	-9.099437	0.4896875
595	-1.56701	-4.583944
596	-1.2548473	-3.5917594
597	-0.4410025	-2.4614327
598	-4.193905	-6.1624713
599	-3.0242348	-6.1234612
600	-4.450297	-4.073844
601	-1.0124017	-3.503292
602	-1.9134829	-5.258249
603	-0.87927127	-3.5858762
604	-4.174793	-8.698085
605	-0.96736413	-4.216765
606	-3.7774181	-6.003607
607	-3.4146717	-5.1601667
608	-5.260235	-6.7316127
609	-4.0046644	-3.756026
610	-4.0253916	-6.5983596
611	-3.4580002	-6.2384276
612	-3.8376765	-5.4642324
613	-5.4105678	-4.315798
614	-2.6644511	-3.0259964
615	-0.72738034	-3.4085393
616	-2.521785	-4.3291974
617	-4.0398145	-7.0237064
618	-2.6264591	-6.242911
619	-3.2684531	-5.889849
620	-2.2942111	-4.1194115
621	-0.1478998	-2.8521369
622	-3.9021804	-7.116216
623	-1.1536224	-3.96498
624	-3.5492144	-3.3884697
625	-0.30744794	-3.077335
626	-0.9280581	-3.4609177
627	-4.57949	-4.2447863
628	-1.0794653	-3.3961627
629	-5.2460494	-5.0016046
630	-8.3457155	-6.2805133
631	-0.29696265	-3.2712486
632	-5.083827	-3.5227704
633	-0.8804025	-3.2815146
634	-1.0545516	-4.07229
635	-5.458515	-7.2638326
636	-1.3295007	-5.4498086
637	-5.294137	-6.13934
638	-3.2779777	-6.234551
639	-2.6243265	-5.720539
640	-2.8210926	-2.456555
641	-3.7629404	-3.9174635
642	-0.12954313	-3.6253834
643	-1.8848567	-4.8706856
644	-2.7835546	-3.151447
645	-4.8090744	-6.6836586
646	-5.155922	-4.762926
647	-0.24996069	-3.4217737
648	-1.8524762	-4.1921983
649	-1.9005058	-3.4710348
650	-2.5685055	-6.313841
651	-6.8651996	-4.6173863
652	-4.468969	-3.2971337
653	-3.8928208	-5.861409
654	-5.3304324	-3.2472174
655	-2.647534	-5.5101914
656	-4.2700877	-3.7581117
657	-4.5131145	-5.2827363
658	-3.395453	-4.890986
659	-0.8359206	-3.473117
660	-3.5624719	-2.4366236
661	-3.98766	-3.1383827
662	-2.5390356	-7.271936
663	-1.4129391	-3.4174354
664	-3.3380141	-6.385322
665	-5.3207235	-3.1631258
666	-3.5237837	-5.2965302
667	-1.0321984	-4.218179
668	-3.7347093	-3.571345
669	-13.491391	-1.9528193
670	-2.7199986	-6.4281306
671	-3.4556594	-4.130215
672	-3.7172341	-3.5539606
673	-7.0251684	-6.2301383
674	-0.9370958	-13.152638
675	-3.2451138	-5.431244
676	-1.6698465	-5.318556
677	-3.5307574	-5.737285
678	-4.2893314	-3.5990548
679	-2.0707064	-5.0633826
680	-1.8043373	-4.436259
681	-5.9244576	-1.8665116
682	-1.0737215	-3.6883266
683	-5.0120797	-3.5654223
684	-3.5107584	-3.7256534
685	-2.3461554	-5.141828
686	-4.5691595	-5.136058
687	-3.0734432	-4.438111
688	-1.9178876	-4.7018886
689	-4.871035	-3.222834
690	-9.222534	-6.277636
691	-1.375401	-3.5519547
692	-1.5855136	-3.2023313
693	-0.4307219	-2.9090502
694	-9.619351	-4.9858875
695	-1.5825844	-3.6367319
696	-1.0179722	-3.4585931
697	-3.990447	-5.617986
698	-0.9032405	-3.3139393
699	-2.060752	-4.802918
700	-6.03589	-6.4160066
701	-3.378606	-6.0149465
702	-1.5767891	-5.3331976
703	-1.9913983	-4.7976403
704	-1.8434272	-3.3712993
705	-3.5238447	-7.4141755
706	-1.1168989	-4.815849
707	-3.7487674	-5.805801
708	-5.9806986	-6.9456377
709	-3.934083	-5.407556
710	-1.1917154	-3.610811
711	-3.5957108	-7.3314853
712	-1.2557118	-3.549518
713	-4.2066054	-8.046609
714	-3.4356012	-4.6953177
715	-0.9116624	-3.899772
716	-4.242124	-3.7641747
717	-3.5086856	-3.168781
718	-6.466706	-5.9777265
719	-0.8304656	-3.6587121
720	-7.640247	-6.046656
721	-1.7558565	-4.86212
722	-1.28918	-2.612096
723	-4.023936	-3.7126591
724	-3.8750029	-5.317496
725	-1.8140546	-7.9765935
726	-2.0757613	-3.8120706
727	-4.336343	-6.410355
728	-1.1746417	-3.071606
729	-2.4260182	-7.9998326
730	-1.6113199	-4.7627625
731	-10.452987	-0.15474033
732	-4.605337	-6.303027
733	-0.9509863	-3.2655888
734	-0.957107	-3.6977441
735	-4.0663037	-5.265451
736	-3.601039	-3.969198
737	-4.8236785	-3.5896246
738	-0.9479727	-3.4677205
739	-1.9660046	-5.0121922
740	-4.9125104	-6.420442
741	-4.7055354	-3.5340984
742	-1.8829391	-4.607491
743	-2.0367417	-4.7944016
744	-1.3679976	-3.3886073
745	-1.31399	-3.4539506
746	-3.403885	-4.015758
747	-4.326195	-4.7155304
748	-2.5525851	-2.9956028
749	-0.951904	-3.4220984
750	-4.9946065	-6.287209
751	-0.17932631	-3.6153638
752	-1.2204496	-3.4947042
753	-2.1839638	-5.461963
754	-1.023221	-3.5109239
755	-2.2447073	-4.9891524
756	-3.226068	-6.577452
757	-1.0586653	-3.6366832
758	-2.7699935	-2.101751
759	-3.6632843	-3.8249533
760	-9.506312	-5.9071956
761	-0.97126555	-3.526103
762	-3.56879	-6.131152
763	-1.2242405	-3.2785747
764	-1.1854479	-3.5657415
765	-3.44923	-6.1826835
766	-1.9144846	-4.8609915
767	-1.0511018	-3.7108557
768	-1.9241345	-3.0066946
769	-2.8091238	-4.341656
770	-3.2557821	-6.3755755
771	-0.8513228	-2.7898257
772	-0.9017748	-3.5280492
773	-2.4120457	-2.9356935
774	-2.0100806	-3.5953014
775	-0.9773781	-3.3459833
776	-1.166894	-3.2268922
777	-4.404504	-5.783995
778	-0.98430187	-3.5936658
779	-4.1896257	-6.24935
780	-1.1160954	-4.7829227
781	-2.9328485	-6.6948504
782	-4.1033196	-5.6626725
783	-3.247084	-5.4804463
784	-1.8259063	-2.3636184
785	-5.196061	-7.02521
786	-1.050224	-2.7055604
787	-3.0395403	-7.9925475
788	-4.024945	-3.0381374
789	-1.1494186	-3.6173303
790	-3.5418587	-4.93848
791	-0.74211174	-3.6926851
792	-2.8652818	-6.2231154
793	-1.2109149	-5.1856837
794	-3.9478292	-5.5552206
795	-1.0272043	-3.410353
796	-1.0015166	-3.3086197
797	-0.91734564	-3.379942
798	-1.0221795	-4.190983
799	-2.3119092	-6.2350554
800	-6.647603	-5.4333024
801	-5.897194	-1.5449183
802	-2.6129928	-3.5216155
803	-3.1731555	-7.029096
804	-2.5005379	-6.1937933
805	-0.6662698	-3.31009
806	-3.7205296	-5.764769
807	-0.04151322	-3.2735846
808	-3.9888463	-3.574375
809	-2.657264	-6.529494
810	3.5322165	-14.012801
811	-0.70712763	-3.5975344
812	-1.8257756	-3.374066
813	-0.5214631	-4.887502
814	-1.0539486	-3.6593902
815	-4.1069345	-3.8174317
816	-0.94462377	-3.8689878
817	-4.7030187	-6.859839
818	-4.549954	-6.13884
819	-3.9333367	-5.5287633
820	-2.973473	-1.9403358
821	-4.4661727	-4.1322846
822	-1.1411163	-3.3632314
823	-0.60090035	-4.0643063
824	-0.39005673	-2.8504922
825	0.07553074	-3.2023084
826	-5.9139724	-6.9088664
827	-4.585201	-6.060659
828	-1.0286375	-3.2491252
829	-2.5781386	-6.4457593
830	-1.9745007	-5.192661
831	-0.9899532	-2.7632525
832	-1.8622763	-5.083468
833	-3.5393682	-4.285908
834	-3.2263143	-2.7360191
835	-1.2801045	-5.7194963
836	-5.5598283	-5.408253
837	-2.1480417	-4.6829133
838	-3.751056	-6.5080514
839	-3.7986014	-4.157499
840	-1.1308271	-3.473839
841	-4.5318713	-4.947393
842	-4.147644	-4.977883
843	-3.3477702	-5.118091
844	-0.9946255	-3.2396123
845	-2.0158176	-5.4734173
846	-1.6564937	-4.837256
847	-0.96085984	-3.1177266
848	-4.170183	-5.479549
849	-1.0032344	-2.8779562
850	-1.2525649	-3.289205
851	-0.99929553	-3.3380802
852	-4.956107	-6.881719
853	-1.242885	-3.026726
854	-4.4804196	-3.3922243
855	-3.76297	-3.894181
856	-1.4223826	-3.6370811
857	-2.2061975	-4.7225604
858	-3.7108111	-8.902373
859	-0.17043018	2.7533805
860	-2.5560362	-4.12614
861	-1.6026022	-3.5439987
862	-3.285645	5.328934
863	-5.03376	-3.5140111
864	-4.360499	-3.5970135
865	-3.4912946	-5.729426
866	-5.994985	-5.460093
867	-3.4368267	-2.618283
868	-1.1049646	-5.3566575
869	-6.9273286	-4.954
870	-1.4289666	-4.0982146
871	-1.6071831	-3.547562
872	-3.4894776	-3.5815513
873	-4.0753717	-7.681072
874	-1.4252063	-5.132247
875	-0.8484404	-3.8640077
876	-2.4555566	-3.110386
877	-0.90475035	-3.184703
878	-2.351367	-4.3298297
879	-2.6472692	-3.0783105
880	-5.031393	-4.1336217
881	-0.12288354	-3.3873837
882	-5.0922494	-3.3808901
883	-2.5935504	-3.1695626
884	-0.28833064	-2.8012078
885	-1.1562487	-3.480695
886	-2.2438571	-4.8484473
887	-4.7146196	-3.6446679
888	-5.1086783	-4.24954
889	-0.21645476	-3.1072495
890	-1.0238795	-3.382469
891	-1.1186721	-2.492626
892	-3.4839268	-4.5470715
893	-3.0390286	-7.03882
894	-1.63254	-2.4045746
895	-2.0464623	-4.641677
896	-0.37805992	-2.6485524
897	-1.361999	-3.0795164
898	-1.4622838	-3.3450482
899	-1.0658417	-3.4125211
900	-4.0667195	-5.710665
901	2.0664413	-5.935668
902	-1.7068138	-4.8564773
903	-4.2115226	-3.8241923
904	-1.4378569	-3.906944
905	-1.7760296	-4.3517356
906	-1.6507206	-4.345596
907	-4.42576	-5.8439593
908	-4.2492557	-3.435786
